region,country,weather_station,station_code,data_format,url
2,CHN,Guangxi.Zhuang.Baise,592110,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Baise.592110_CSWD.zip
2,CHN,Guangxi.Zhuang.Duan,590370,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Duan.590370_CSWD.zip
2,CHN,Guangxi.Zhuang.Guilin,579570,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Guilin.579570_CSWD.zip
2,CHN,Guangxi.Zhuang.Guiping,592540,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Guiping.592540_CSWD.zip
2,CHN,Guangxi.Zhuang.Hechi,590230,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Hechi.590230_CSWD.zip
2,CHN,Guangxi.Zhuang.Lingshan,594460,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Lingshan.594460_CSWD.zip
2,CHN,Guangxi.Zhuang.Longzhou,594170,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Longzhou.594170_CSWD.zip
2,CHN,Guangxi.Zhuang.Nanning,594310,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Nanning.594310_CSWD.zip
2,CHN,Guangxi.Zhuang.Qinzhou,596320,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Qinzhou.596320_CSWD.zip
2,CHN,Guangxi.Zhuang.Wuzhou,592650,CSWD,2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Wuzhou.592650_CSWD.zip
2,CHN,Guizhou.Bijie,577070,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Bijie.577070_CSWD.zip
2,CHN,Guizhou.Guiyang,578160,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Guiyang.578160_CSWD.zip
2,CHN,Guizhou.Guiyang,578160,SWERA,2_asia_wmo_region_2/CHN_Guizhou.Guiyang.578160_SWERA.zip
2,CHN,Guizhou.Sansui,578320,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Sansui.578320_CSWD.zip
2,CHN,Guizhou.Tongzi,576060,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Tongzi.576060_CSWD.zip
2,CHN,Guizhou.Weining,566910,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Weining.566910_CSWD.zip
2,CHN,Guizhou.Xingyi,579020,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Xingyi.579020_CSWD.zip
2,CHN,Guizhou.Zunyi,577130,CSWD,2_asia_wmo_region_2/CHN_Guizhou.Zunyi.577130_CSWD.zip
2,CHN,Hainan.Dongfang,598380,CSWD,2_asia_wmo_region_2/CHN_Hainan.Dongfang.598380_CSWD.zip
2,CHN,Hainan.Haikou,597580,CSWD,2_asia_wmo_region_2/CHN_Hainan.Haikou.597580_CSWD.zip
2,CHN,Hainan.Qionghai,598550,CSWD,2_asia_wmo_region_2/CHN_Hainan.Qionghai.598550_CSWD.zip
2,CHN,Hebei.Chengde,544230,CSWD,2_asia_wmo_region_2/CHN_Hebei.Chengde.544230_CSWD.zip
2,CHN,Hebei.Fengning,543080,CSWD,2_asia_wmo_region_2/CHN_Hebei.Fengning.543080_CSWD.zip
2,CHN,Hebei.Huailai,544050,CSWD,2_asia_wmo_region_2/CHN_Hebei.Huailai.544050_CSWD.zip
2,CHN,Hebei.Leting,545390,CSWD,2_asia_wmo_region_2/CHN_Hebei.Leting.545390_CSWD.zip
2,CHN,Hebei.Raoyang,546060,CSWD,2_asia_wmo_region_2/CHN_Hebei.Raoyang.546060_CSWD.zip
2,CHN,Hebei.Shijiazhuang,536980,CSWD,2_asia_wmo_region_2/CHN_Hebei.Shijiazhuang.536980_CSWD.zip
2,CHN,Hebei.Xingtai,537980,CSWD,2_asia_wmo_region_2/CHN_Hebei.Xingtai.537980_CSWD.zip
2,CHN,Hebei.Zhangbei,533990,CSWD,2_asia_wmo_region_2/CHN_Hebei.Zhangbei.533990_CSWD.zip
2,CHN,Heilongjiang.Anda,508540,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Anda.508540_CSWD.zip
2,CHN,Heilongjiang.Fujin,507880,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Fujin.507880_CSWD.zip
2,CHN,Heilongjiang.Fuyu,507420,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Fuyu.507420_CSWD.zip
2,CHN,Heilongjiang.Hailun,507560,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Hailun.507560_CSWD.zip
2,CHN,Heilongjiang.Harbin,509530,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Harbin.509530_CSWD.zip
2,CHN,Heilongjiang.Harbin,509530,IWEC,2_asia_wmo_region_2/CHN_Heilongjiang.Harbin.509530_IWEC.zip
2,CHN,Heilongjiang.Harbin,509530,SWERA,2_asia_wmo_region_2/CHN_Heilongjiang.Harbin.509530_SWERA.zip
2,CHN,Heilongjiang.Huma,503530,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Huma.503530_CSWD.zip
2,CHN,Heilongjiang.Jiamusi,508730,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Jiamusi.508730_CSWD.zip
2,CHN,Heilongjiang.Jixi,509780,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Jixi.509780_CSWD.zip
2,CHN,Heilongjiang.Keshan,506580,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Keshan.506580_CSWD.zip
2,CHN,Heilongjiang.Mohe,501360,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Mohe.501360_CSWD.zip
2,CHN,Heilongjiang.Mudanjiang,540940,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Mudanjiang.540940_CSWD.zip
2,CHN,Heilongjiang.Nenjiang,505570,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Nenjiang.505570_CSWD.zip
2,CHN,Heilongjiang.Qiqihar,507450,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Qiqihar.507450_CSWD.zip
2,CHN,Heilongjiang.Shangzhi,509680,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Shangzhi.509680_CSWD.zip
2,CHN,Heilongjiang.Suifenhe,540960,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Suifenhe.540960_CSWD.zip
2,CHN,Heilongjiang.Sunwu,505640,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Sunwu.505640_CSWD.zip
2,CHN,Heilongjiang.Tonghe,509630,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Tonghe.509630_CSWD.zip
2,CHN,Heilongjiang.Zhaozhou,509500,CSWD,2_asia_wmo_region_2/CHN_Heilongjiang.Zhaozhou.509500_CSWD.zip
2,CHN,Henan.Anyang,538980,CSWD,2_asia_wmo_region_2/CHN_Henan.Anyang.538980_CSWD.zip
2,CHN,Henan.Lushi,570670,CSWD,2_asia_wmo_region_2/CHN_Henan.Lushi.570670_CSWD.zip
2,CHN,Henan.Nanyang,571780,CSWD,2_asia_wmo_region_2/CHN_Henan.Nanyang.571780_CSWD.zip
2,CHN,Henan.Shangqiu,580050,CSWD,2_asia_wmo_region_2/CHN_Henan.Shangqiu.580050_CSWD.zip
2,CHN,Henan.Xinyang,572970,CSWD,2_asia_wmo_region_2/CHN_Henan.Xinyang.572970_CSWD.zip
2,CHN,Henan.Zhengzhou,570830,CSWD,2_asia_wmo_region_2/CHN_Henan.Zhengzhou.570830_CSWD.zip
2,CHN,Henan.Zhumadian,572900,CSWD,2_asia_wmo_region_2/CHN_Henan.Zhumadian.572900_CSWD.zip
2,CHN,Hong.Kong.SAR,450070,CityUHK,2_asia_wmo_region_2/CHN_Hong.Kong.SAR.450070_CityUHK.zip
2,CHN,Hubei.Exi,574470,CSWD,2_asia_wmo_region_2/CHN_Hubei.Exi.574470_CSWD.zip
2,CHN,Hubei.Laohekou,572650,CSWD,2_asia_wmo_region_2/CHN_Hubei.Laohekou.572650_CSWD.zip
2,CHN,Hubei.Macheng,573990,CSWD,2_asia_wmo_region_2/CHN_Hubei.Macheng.573990_CSWD.zip
